master_chemprop_input,EA vs SHE (eV),IP vs SHE (eV)
Fc1ccc(F)cc1.Oc1cc(O)cc(O)c1,-3.4062103132528456,0.626237400079606
Fc1ccc(F)cc1.Oc1cc(O)cc(O)c1,-2.991909118105326,0.5787656472976086
Fc1ccc(F)cc1.Oc1cc(O)cc(O)c1,-3.1965701146736407,0.6355882567558224
Fc1ccc(F)cc1.N#Cc1ccc(F)cc1,-2.4726848365244187,1.4624250318601486
Fc1ccc(F)cc1.N#Cc1ccc(F)cc1,-2.4695818561351057,1.4359193890211588
Fc1ccc(F)cc1.N#Cc1ccc(F)cc1,-2.4640716051228546,1.453249529896245
Fc1ccc(F)cc1.Cc1cc(N)ccc1Cl,-3.459587851967248,0.269279619587085
Fc1ccc(F)cc1.Cc1cc(N)ccc1Cl,-3.0112040071250084,0.2490407827325715
Fc1ccc(F)cc1.Cc1cc(N)ccc1Cl,-3.2527717406056995,0.2627487124478691
Fc1ccc(F)cc1.O=C(Cl)COc1ccccc1,-2.8421119355495503,0.8871820578662528
Fc1ccc(F)cc1.O=C(Cl)COc1ccccc1,-2.690956692930748,0.8519622773377173
Fc1ccc(F)cc1.O=C(Cl)COc1ccccc1,-2.78715592957318,0.8415939882402852
Fc1ccc(F)cc1.COC(=O)c1cccc(N)n1,-2.724311528069622,0.5752073573456578
Fc1ccc(F)cc1.COC(=O)c1cccc(N)n1,-2.68796795459074,0.5787603335289506
Fc1ccc(F)cc1.COC(=O)c1cccc(N)n1,-2.7077426976375323,0.5737732971288645
Fc1ccc(F)cc1.c1ccc2ncncc2c1,-2.113290449148347,1.1378297265504205
Fc1ccc(F)cc1.c1ccc2ncncc2c1,-2.045463353071068,1.0329220872801084
Fc1ccc(F)cc1.c1ccc2ncncc2c1,-2.0663168438279707,1.0971474806136536
Fc1ccc(F)cc1.O=Cc1ccccc1F,-2.040702698531945,1.3939651608838015
Fc1ccc(F)cc1.O=Cc1ccccc1F,-2.0433483930565544,1.3925573589922549
Fc1ccc(F)cc1.O=Cc1ccccc1F,-2.050155997896637,1.3913200178196945
Fc1ccc(F)cc1.Cc1ccc(Cl)cc1,-3.157066146700916,1.2296570994292402
Fc1ccc(F)cc1.Cc1ccc(Cl)cc1,-2.951877351928597,1.2309298281670429
Fc1ccc(F)cc1.Cc1ccc(Cl)cc1,-3.067067337102264,1.2374886265689604
Fc1ccc(F)cc1.COC(=O)c1ccccn1,-2.4036409938465084,1.3016611311285982
Fc1ccc(F)cc1.COC(=O)c1ccccn1,-2.415465100931696,1.314044277674422
Fc1ccc(F)cc1.COC(=O)c1ccccn1,-2.4232359503532983,1.3001562146648589
Fc1ccc(F)cc1.c1ccc(-n2c3ccccc3c3ccccc32)cc1,-3.0980804990304334,0.1612891367723368
Fc1ccc(F)cc1.c1ccc(-n2c3ccccc3c3ccccc32)cc1,-2.936417126638398,0.0453772378659131
Fc1ccc(F)cc1.c1ccc(-n2c3ccccc3c3ccccc32)cc1,-3.032268163313812,0.1192795811318903
Fc1ccc(F)cc1.CCOC(=O)c1cnccn1,-1.9215556819304824,1.2518763916917928
Fc1ccc(F)cc1.CCOC(=O)c1cnccn1,-1.7778572810833908,1.2287266568911035
Fc1ccc(F)cc1.CCOC(=O)c1cnccn1,-1.9262148270945048,1.24448030951204
Fc1ccc(F)cc1.Nc1ccc(C(F)(F)F)nc1,-2.8699410004084727,0.5323124475979057
Fc1ccc(F)cc1.Nc1ccc(C(F)(F)F)nc1,-2.7512780907089773,0.2735394139752041
Fc1ccc(F)cc1.Nc1ccc(C(F)(F)F)nc1,-2.797840701484076,0.3878495752414421
Fc1ccc(F)cc1.CC1(C)C(=O)Nc2ccccc21,-3.1021205416565154,0.6628425599278884
Fc1ccc(F)cc1.CC1(C)C(=O)Nc2ccccc21,-2.940031522879867,0.5925973734686254
Fc1ccc(F)cc1.CC1(C)C(=O)Nc2ccccc21,-3.036280867340467,0.6471987014007958
Fc1ccc(F)cc1.CC(=O)Nc1ccccc1,-3.147905423549771,0.826947719981936
Fc1ccc(F)cc1.CC(=O)Nc1ccccc1,-2.957920309829201,0.8043785216115642
Fc1ccc(F)cc1.CC(=O)Nc1ccccc1,-3.074042356604739,0.8192277593321045
Fc1ccc(F)cc1.O=C(Nc1ccccc1)c1ccccc1,-2.952621557580806,0.8068575472664938
Fc1ccc(F)cc1.O=C(Nc1ccccc1)c1ccccc1,-2.864831039581307,0.7682148320168343
Fc1ccc(F)cc1.O=C(Nc1ccccc1)c1ccccc1,-2.9160035703502665,0.7859969015877879
Fc1ccc(F)cc1.c1ccc(-c2nc3ccccc3s2)cc1,-2.4813565551800405,0.7113494434947532
Fc1ccc(F)cc1.c1ccc(-c2nc3ccccc3s2)cc1,-2.560633800610812,0.577073829777295
Fc1ccc(F)cc1.c1ccc(-c2nc3ccccc3s2)cc1,-2.5148893788747,0.6729452073383493
Fc1ccc(F)cc1.COc1ccccc1,-3.156966778245577,0.807159529294655
Fc1ccc(F)cc1.COc1ccccc1,-2.94890545001452,0.7838095428891916
Fc1ccc(F)cc1.COc1ccccc1,-3.066179588354297,0.8046423085744476
Fc1ccc(F)cc1.OCc1ccccn1,-2.9488350892562423,1.1240828400402074
