master_chemprop_input,EA vs SHE (eV) poly_type_x5,IP vs SHE (eV) poly_type_x5
Fc1ccc(F)cc1.Oc1cc(O)cc(O)c1,-4.238132171555145,0.677065261553981
Fc1ccc(F)cc1.Oc1cc(O)cc(O)c1,-2.166626195817548,0.4397064976439937
Fc1ccc(F)cc1.Oc1cc(O)cc(O)c1,-3.189931178659121,0.7238195449350628
Fc1ccc(F)cc1.N#Cc1ccc(F)cc1,-2.488306452245588,1.5099998915973403
Fc1ccc(F)cc1.N#Cc1ccc(F)cc1,-2.472791550299023,1.3774716774023912
Fc1ccc(F)cc1.N#Cc1ccc(F)cc1,-2.4452402952377676,1.4641223817778217
Fc1ccc(F)cc1.Cc1cc(N)ccc1Cl,-4.333187793572298,0.30497261157872435
Fc1ccc(F)cc1.Cc1cc(N)ccc1Cl,-2.091268569361101,0.20377842730615672
Fc1ccc(F)cc1.Cc1cc(N)ccc1Cl,-3.2991072367645566,0.2723180758826449
Fc1ccc(F)cc1.O=C(Cl)COc1ccccc1,-3.1169269336764462,0.9949258580722566
Fc1ccc(F)cc1.O=C(Cl)COc1ccccc1,-2.3611507205824336,0.8188269554295793
Fc1ccc(F)cc1.O=C(Cl)COc1ccccc1,-2.842146903794595,0.7669855099424185
Fc1ccc(F)cc1.COC(=O)c1cccc(N)n1,-2.7948613999509178,0.5723821360569916
Fc1ccc(F)cc1.COC(=O)c1cccc(N)n1,-2.613143532556507,0.590147016973456
Fc1ccc(F)cc1.COC(=O)c1cccc(N)n1,-2.7120172477904694,0.5652118349730253
Fc1ccc(F)cc1.c1ccc2ncncc2c1,-2.2663580510118875,1.331949573493192
Fc1ccc(F)cc1.c1ccc2ncncc2c1,-1.927222570625493,0.8074113771416316
Fc1ccc(F)cc1.c1ccc2ncncc2c1,-2.0314900244100054,1.128538343809358
Fc1ccc(F)cc1.O=Cc1ccccc1F,-2.0245707066795444,1.3993690874913391
Fc1ccc(F)cc1.O=Cc1ccccc1F,-2.0377991793025902,1.3923300780336059
Fc1ccc(F)cc1.O=Cc1ccccc1F,-2.0718372035030037,1.386143372170804
Fc1ccc(F)cc1.Cc1ccc(Cl)cc1,-3.5506496191955437,1.2175180915925423
Fc1ccc(F)cc1.Cc1ccc(Cl)cc1,-2.52470564533395,1.2238817352815559
Fc1ccc(F)cc1.Cc1ccc(Cl)cc1,-3.100655571202285,1.2566757272911435
Fc1ccc(F)cc1.COC(=O)c1ccccn1,-2.361748909057205,1.2871568243524856
