IP (eV),EA (eV),poly_id,comp,poly_type
6.15499663948838,2.9675071419791075,8_0,6A_2B,block
6.1416757245015425,2.9543957230507765,8_0,6A_2B,random
6.359997044565278,3.088276455193449,8_1,6A_2B,block
6.3933875761300705,3.108193132512829,8_1,6A_2B,random
5.969269487759966,3.0155130225360924,8_2,6A_2B,block
5.953847206665068,2.9351821165516956,8_2,6A_2B,random
6.272570854287315,3.069446269002546,8_3,6A_2B,block
6.280547564419461,2.991108835274082,8_3,6A_2B,random
6.132262773359487,3.0470145103416546,8_4,6A_2B,block
6.131494272025048,2.9862390537681236,8_4,6A_2B,random
6.333414148931718,3.227650688985399,8_5,6A_2B,block
6.362497569677907,3.2465885534080847,8_5,6A_2B,random
6.366440100480717,3.20581104579012,8_6,6A_2B,block
6.422099215548455,3.1985632721486184,8_6,6A_2B,random
6.347882297964982,3.0247115456935028,8_7,6A_2B,block
6.356046792558395,2.991067350048275,8_7,6A_2B,random
6.319745582239706,3.127066090130511,8_8,6A_2B,block
6.383958542209797,3.119761991280413,8_8,6A_2B,random
5.814301501041238,3.0854749612104793,8_9,6A_2B,block
5.8830510209982325,2.9709229297953463,8_9,6A_2B,random
6.347029033334495,3.2960942887925144,8_10,6A_2B,block
6.375871118983919,3.351001776216956,8_10,6A_2B,random
6.03228223940172,3.0408141627137586,8_11,6A_2B,block
6.106228820187099,2.9816220338441397,8_11,6A_2B,random
6.161482696459674,3.040429460165484,8_12,6A_2B,block
6.17414230522262,2.968488238701266,8_12,6A_2B,random
6.207879240581695,3.0994454987878783,8_13,6A_2B,block
6.282642861468442,2.949700489077823,8_13,6A_2B,random
6.185191982089117,3.119693220663131,8_14,6A_2B,block
6.229691119134806,3.0065955371133297,8_14,6A_2B,random
6.188888777666883,3.058538531105893,8_15,6A_2B,block
6.161910497318563,3.062366539025118,8_15,6A_2B,random
6.240195224749528,3.0867224942289866,8_16,6A_2B,block
6.279559923796214,2.9546529672403503,8_16,6A_2B,random
