IP (eV),EA (eV),poly_id,comp,poly_type
6.09688872036332,3.498231449474305,5_0,2A_6B,block
6.005784571512687,3.6142514989516443,5_0,2A_6B,random
6.761027884453074,3.608987499355397,5_1,2A_6B,block
6.86114569634654,3.735924994816499,5_1,2A_6B,random
5.690489602698852,3.3931934792934086,5_2,2A_6B,block
5.664123367268678,3.391736490082267,5_2,2A_6B,random
6.261193983355479,3.517283945639951,5_3,2A_6B,block
6.225455085405655,3.5450980091409035,5_3,2A_6B,random
5.98120101800634,3.485531722647497,5_4,2A_6B,block
5.96221728505604,3.5858672000220357,5_4,2A_6B,random
6.399709152692905,3.726916423723978,5_5,2A_6B,block
6.492623919622542,3.742057209761101,5_5,2A_6B,random
6.774216358567164,3.8086685217616854,5_6,2A_6B,block
6.891646826230528,3.903727384368782,5_6,2A_6B,random
6.602928876538599,3.4597603979865372,5_7,2A_6B,block
6.6540611311562365,3.5170646906540055,5_7,2A_6B,random
6.656731441318476,3.6587502039112323,5_8,2A_6B,block
6.7047618138393394,3.781066893834456,5_8,2A_6B,random
5.474531281799905,3.25723560421455,5_9,2A_6B,block
5.467879674182939,3.2708812609992357,5_9,2A_6B,random
6.638127869322334,4.082375827433017,5_10,2A_6B,block
6.714461689401221,4.109870495877601,5_10,2A_6B,random
5.615308600447758,3.4132252634262814,5_11,2A_6B,block
5.689273572056603,3.4954455451870987,5_11,2A_6B,random
5.971652005618075,3.440838226954843,5_12,2A_6B,block
5.94486185474096,3.448513361607396,5_12,2A_6B,random
6.204175594609633,3.407468164788675,5_13,2A_6B,block
6.181615319331012,3.3895142304471686,5_13,2A_6B,random
6.14828944346635,3.428005026129296,5_14,2A_6B,block
6.1395207978168145,3.516802067632261,5_14,2A_6B,random
5.932474091607331,3.434683885496966,5_15,2A_6B,block
5.928753781598846,3.437485332617187,5_15,2A_6B,random
6.192207870037565,3.4089135558866515,5_16,2A_6B,block
6.182578732025112,3.4122324104776327,5_16,2A_6B,random
6.496205714553727,3.4558398870163805,5_17,2A_6B,block
6.506170578743181,3.543081757594072,5_17,2A_6B,random
6.834568281014341,3.805935864402615,5_18,2A_6B,block
6.948354503189308,3.8544893251661674,5_18,2A_6B,random
5.624561130908226,3.4637110753539764,5_19,2A_6B,block
5.664477413501044,3.508870435669705,5_19,2A_6B,random
5.655317924198376,3.4553257372690034,5_20,2A_6B,block
5.594895311418843,3.487051365933257,5_20,2A_6B,random
5.900665887516438,3.361400086564892,5_21,2A_6B,block
5.887992135012485,3.3524226911541644,5_21,2A_6B,random
6.578457008797522,3.6621066155848485,5_22,2A_6B,block
6.573902049096169,3.650018826872058,5_22,2A_6B,random
