IP (eV),EA (eV),poly_id,comp,poly_type
5.909176459886474,3.7838394551278256,5_0,4A_4B,alternating
5.994892638092707,3.828391188535922,5_0,4A_4B,block
5.950115581251529,3.853778008705202,5_0,4A_4B,random
6.591934117473655,3.951417023319353,5_1,4A_4B,alternating
6.280992281835367,3.891492823632241,5_1,4A_4B,block
6.46715188589965,3.9350675676494036,5_1,4A_4B,random
5.7135176317070195,3.6187872356965554,5_2,4A_4B,alternating
5.733380338782108,3.803186024135883,5_2,4A_4B,block
5.733092725721702,3.7074323103229956,5_2,4A_4B,random
6.156515666069726,3.7230986237466484,5_3,4A_4B,alternating
6.1170755961903165,3.8595960290303646,5_3,4A_4B,block
6.14894115402287,3.8079769135815518,5_3,4A_4B,random
5.915501488934792,3.751486969386917,5_4,4A_4B,alternating
5.934350952691348,3.8562543843051253,5_4,4A_4B,block
5.934269233500583,3.808660425647357,5_4,4A_4B,random
6.461116822138761,3.838612799106574,5_5,4A_4B,alternating
6.176393727471065,3.8996906712694877,5_5,4A_4B,block
6.3187193183109756,3.882054471358956,5_5,4A_4B,random
6.683152499372674,3.984185611091899,5_6,4A_4B,alternating
6.305628972770878,3.964864598555934,5_6,4A_4B,block
6.5142277783912625,4.007006328015298,5_6,4A_4B,random
6.500683105181494,3.7667519603236697,5_7,4A_4B,alternating
6.24681064016388,3.846071363542026,5_7,4A_4B,block
6.385874575008522,3.8250454115029355,5_7,4A_4B,random
6.465044826209868,3.9977356818034506,5_8,4A_4B,alternating
6.272591006147238,3.906179364807418,5_8,4A_4B,block
6.393866519071535,3.98840566008731,5_8,4A_4B,random
5.5875952195693745,3.524208034748366,5_9,4A_4B,alternating
5.564519636575245,3.7640301230299693,5_9,4A_4B,block
5.581229927585202,3.6347587406540995,5_9,4A_4B,random
6.506043691955774,4.202919741627816,5_10,4A_4B,alternating
6.287245655302264,4.080751695576559,5_10,4A_4B,block
6.436293139430055,4.152595426129341,5_10,4A_4B,random
5.8564102587730105,3.7414066758338507,5_11,4A_4B,alternating
5.710013050701079,3.806637826155453,5_11,4A_4B,block
5.802443352163584,3.776037979742462,5_11,4A_4B,random
5.9439788439301395,3.6554148304569365,5_12,4A_4B,alternating
5.936164526066301,3.8242372619727236,5_12,4A_4B,block
5.931851356222305,3.734650386319988,5_12,4A_4B,random
6.156119919011731,3.6131274051021975,5_13,4A_4B,alternating
6.041601734922758,3.825826730542806,5_13,4A_4B,block
6.119884804461871,3.6966625126094264,5_13,4A_4B,random
6.078931628109212,3.764387925034188,5_14,4A_4B,alternating
6.0384864379508105,3.8196882995482726,5_14,4A_4B,block
6.058240053244911,3.7828637298049017,5_14,4A_4B,random
5.9193721480438,3.6809422293514293,5_15,4A_4B,alternating
5.904388028300369,3.8223878180367166,5_15,4A_4B,block
5.923249062813664,3.740385092449049,5_15,4A_4B,random
6.162362934417722,3.626666879588426,5_16,4A_4B,alternating
6.061642663262373,3.817553301252962,5_16,4A_4B,block
6.1075901105344315,3.716963646590338,5_16,4A_4B,random
6.4134337817662805,3.759619347924444,5_17,4A_4B,alternating
6.198700613648024,3.836358771244795,5_17,4A_4B,block
6.314164793114719,3.808778292920912,5_17,4A_4B,random
6.701017580284549,3.9394432836260638,5_18,4A_4B,alternating
6.2952399645833115,3.9617343601621835,5_18,4A_4B,block
6.538639758003899,3.9721776231339954,5_18,4A_4B,random
5.794798727991626,3.7527153443818575,5_19,4A_4B,alternating
5.710263373513211,3.836074095210882,5_19,4A_4B,block
5.73861257829901,3.798888552361173,5_19,4A_4B,random
5.645324250169457,3.642743946547863,5_20,4A_4B,alternating
5.679946184576642,3.7941461187365286,5_20,4A_4B,block
5.659859767211934,3.7255599491977556,5_20,4A_4B,random
5.902231728496235,3.5729297924424332,5_21,4A_4B,alternating
5.88312882886585,3.7842166801592327,5_21,4A_4B,block
5.898830369678706,3.680635036127016,5_21,4A_4B,random
6.415234507707369,3.846819060315037,5_22,4A_4B,alternating
6.21852961743476,3.839337431058672,5_22,4A_4B,block
6.314276466748424,3.8674256962416522,5_22,4A_4B,random
6.801979842147999,4.075911645405532,5_23,4A_4B,alternating
6.307574733828013,4.088748652953502,5_23,4A_4B,block
6.594633610408076,4.078420577720128,5_23,4A_4B,random
6.137834254534946,4.003941579512548,5_24,4A_4B,alternating
6.057794350682642,3.9625089256309036,5_24,4A_4B,block
6.144046908811703,3.997341885358928,5_24,4A_4B,random
6.846771997352091,4.006160593317177,5_25,4A_4B,alternating
6.271047849831218,4.126765698009686,5_25,4A_4B,block
6.60769667789541,4.0522769094476025,5_25,4A_4B,random
6.192422473357809,3.6617445215133517,5_26,4A_4B,alternating
6.144725253737325,3.784809412700804,5_26,4A_4B,block
6.153280457130707,3.7495978592258803,5_26,4A_4B,random
6.229847842194079,3.807117550324656,5_27,4A_4B,alternating
6.130656510847706,3.8567468611138542,5_27,4A_4B,block
6.193802873948703,3.8419717671115534,5_27,4A_4B,random
5.7714966677675825,3.882142593539734,5_28,4A_4B,alternating
5.785332595561324,3.839630696985827,5_28,4A_4B,block
5.783994141365021,3.8696418456755337,5_28,4A_4B,random
7.014202140223884,4.186807959108049,5_29,4A_4B,alternating
6.388908651637495,4.1743692733743405,5_29,4A_4B,block
6.768246789247195,4.201858252999336,5_29,4A_4B,random
5.216338138674072,3.3590320209140074,5_30,4A_4B,alternating
5.136563053957763,3.717197676129967,5_30,4A_4B,block
5.189808102941978,3.5172751697819624,5_30,4A_4B,random
6.6132611736084765,4.04617011373575,5_31,4A_4B,alternating
6.281137885477971,4.026336806399349,5_31,4A_4B,block
6.486371189307258,4.0369425538559955,5_31,4A_4B,random
5.663759039532989,3.628938376692294,5_32,4A_4B,alternating
5.681569521352762,3.7987470562591636,5_32,4A_4B,block
5.645159275623148,3.7047927407104275,5_32,4A_4B,random
6.4506835464840275,3.9101518827663266,5_33,4A_4B,alternating
6.193842277023088,3.8890070916134176,5_33,4A_4B,block
6.3470025230871245,3.913936197503003,5_33,4A_4B,random
