master_chemprop_input,EA vs SHE (eV) poly_type_x5,IP vs SHE (eV) poly_type_x5
Fc1ccc(F)cc1.Oc1cc(O)cc(O)c1,-2.166626195817548,1.623514035713081
Fc1ccc(F)cc1.Oc1cc(O)cc(O)c1,-3.189931178659121,1.9045388977075064
Fc1ccc(F)cc1.N#Cc1ccc(F)cc1,-2.488306452245588,2.682173805819108
Fc1ccc(F)cc1.N#Cc1ccc(F)cc1,-2.472791550299023,2.5510861156914983
Fc1ccc(F)cc1.N#Cc1ccc(F)cc1,-2.445240295237768,2.636794964584583
Fc1ccc(F)cc1.Cc1cc(N)ccc1Cl,-2.091268569361101,1.390150400922393
Fc1ccc(F)cc1.Cc1cc(N)ccc1Cl,-3.2991072367645566,1.4579450533187044
Fc1ccc(F)cc1.O=C(Cl)COc1ccccc1,-3.1169269336764462,2.172698403093209
Fc1ccc(F)cc1.O=C(Cl)COc1ccccc1,-2.3611507205824336,1.998513618957518
Fc1ccc(F)cc1.O=C(Cl)COc1ccccc1,-2.842146903794595,1.9472356674430435
Fc1ccc(F)cc1.COC(=O)c1cccc(N)n1,-2.7948613999509178,1.7547475476215888
Fc1ccc(F)cc1.COC(=O)c1cccc(N)n1,-2.7120172477904694,1.7476551845928832
Fc1ccc(F)cc1.c1ccc2ncncc2c1,-2.2663580510118875,2.5060588172595706
Fc1ccc(F)cc1.c1ccc2ncncc2c1,-1.927222570625493,1.9872221230422689
Fc1ccc(F)cc1.c1ccc2ncncc2c1,-2.0314900244100054,2.3048585792027327
Fc1ccc(F)cc1.O=Cc1ccccc1F,-2.0245707066795444,2.5727455104533914
Fc1ccc(F)cc1.O=Cc1ccccc1F,-2.0377991793025902,2.5657830119680214
Fc1ccc(F)cc1.O=Cc1ccccc1F,-2.071837203503004,2.559663552908076
Fc1ccc(F)cc1.Cc1ccc(Cl)cc1,-3.550649619195544,2.392871155814364
Fc1ccc(F)cc1.Cc1ccc(Cl)cc1,-2.52470564533395,2.3991656294632797
Fc1ccc(F)cc1.COC(=O)c1ccccn1,-2.361748909057205,2.461752945826918
Fc1ccc(F)cc1.COC(=O)c1ccccn1,-2.420869444483144,2.5229956814611527
Fc1ccc(F)cc1.COC(=O)c1ccccn1,-2.4597236915911544,2.4543101524464657
Fc1ccc(F)cc1.c1ccc(-n2c3ccccc3c3ccccc32)cc1,-3.401381443175309,1.5563961731663365
Fc1ccc(F)cc1.c1ccc(-n2c3ccccc3c3ccccc32)cc1,-2.593064581215133,0.9831362383573924
Fc1ccc(F)cc1.c1ccc(-n2c3ccccc3c3ccccc32)cc1,-3.0723197645922027,1.3486315229880403
Fc1ccc(F)cc1.CCOC(=O)c1cnccn1,-1.388449351939116,2.3526505228615897
Fc1ccc(F)cc1.CCOC(=O)c1cnccn1,-2.130237081994686,2.430562609193398
Fc1ccc(F)cc1.Nc1ccc(C(F)(F)F)nc1,-2.763790450618345,1.5324541565364909
Fc1ccc(F)cc1.CC1(C)C(=O)Nc2ccccc21,-3.406025465780112,1.9574986638961844
Fc1ccc(F)cc1.CC1(C)C(=O)Nc2ccccc21,-2.595580371896869,1.6100904047770026
Fc1ccc(F)cc1.CC1(C)C(=O)Nc2ccccc21,-3.0768270941998703,1.8801295809632808
Fc1ccc(F)cc1.CC(=O)Nc1ccccc1,-3.4997029977705747,2.046492686371098
Fc1ccc(F)cc1.CC(=O)Nc1ccccc1,-2.549777429167725,1.9348732813871927
Fc1ccc(F)cc1.CC(=O)Nc1ccccc1,-3.130387663045415,2.0083124462007333
Fc1ccc(F)cc1.O=C(Nc1ccccc1)c1ccccc1,-3.118499564554191,2.0651497600785422
Fc1ccc(F)cc1.O=C(Nc1ccccc1)c1ccccc1,-2.935409628401493,1.9619802624284213
Fc1ccc(F)cc1.c1ccc(-c2nc3ccccc3s2)cc1,-2.330943129679465,2.1199415341599765
Fc1ccc(F)cc1.c1ccc(-c2nc3ccccc3s2)cc1,-2.4986072481527635,1.9300075401255876
Fc1ccc(F)cc1.COc1ccccc1,-3.5554314690753603,2.021087735112989
Fc1ccc(F)cc1.COc1ccccc1,-2.515124827920076,1.9056068240859687
Fc1ccc(F)cc1.COc1ccccc1,-3.1014955196189598,2.0086384369858763
Fc1ccc(F)cc1.OCc1ccccn1,-3.074869879515127,2.3026742296431766
Fc1ccc(F)cc1.O=C(Cl)c1ccccc1,-2.061508592400804,2.7843931669931594
Fc1ccc(F)cc1.O=C(Cl)c1ccccc1,-2.040865079919835,2.5943331704483947
Fc1ccc(F)cc1.O=C(Cl)c1ccccc1,-2.063383932008719,2.6736746088925307
Fc1ccc(F)cc1.Cc1cncs1,-2.2899481184006185,2.1964878271755985
Fc1ccc(F)cc1.Cc1cncs1,-3.0356801855216906,0.9217659124067592
Fc1ccc(F)cc1.Cc1cncs1,-2.385413241246844,1.779122516277421
Fc1ccc(F)cc1.CC(C)(C)c1cc2ccc3cccc4ccc(c1)c2c34,-2.3598604580063167,1.5848345604016705
Fc1ccc(F)cc1.CC(C)(C)c1cc2ccc3cccc4ccc(c1)c2c34,-2.7209789483952687,1.2069214613303316
Fc1ccc(F)cc1.CC(C)(C)c1cc2ccc3cccc4ccc(c1)c2c34,-2.531335172235337,1.4164516189078027
